Month,Tourist Arrival,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,CCI,PMI,REERI,Class
01/12/2018,1374235,0,0.18181818,0.012179983,0.007675434,0.009719296,0.013408719,0.012503885,0.0022512,0.891638555,0.032839599,0.01124574,0.006745733,118.3,53.8,127,Train
01/01/2019,1501766,0.125,0,0.012179983,0.007902012,0.926502955,0.006906583,0.007356317,0.001237042,0.010683929,0.015876973,0.008507775,0.008252579,111.2,51.9,125,Train
01/02/2019,1588161,0.2,0,0.012179983,0.00913583,0.010982222,0.01550839,0.015663199,0.002633408,0.883302687,0.026965748,0.013089331,0.008521782,113.8,51.2,125,Train
01/03/2019,1410187,0,0.1,0.007981387,0.916704013,0.008691021,0.016507452,0.00665593,0.002305237,0.008658174,0.011962062,0.012996982,0.006714957,118.4,51.9,126,Train
01/04/2019,1468766,0.22222222,0.11111111,0.014135199,0.010613018,0.02097472,0.025602826,0.576277391,0.002611931,0.030435927,0.30025831,0.012327433,0.008806486,117.2,52.5,126,Train
01/05/2019,1326668,0.14285714,0,0.00752527,0.004668156,0.005929864,0.008497831,0.007847505,0.001448118,0.937465323,0.01550616,0.006822343,0.004289432,120,42.7,126,Train
01/06/2019,1185445,0.09090909,0.09090909,0.006269785,0.004998241,0.00744467,0.007909282,0.011014566,0.001010187,0.011561038,0.940668073,0.006786929,0.00233723,118.2,52.5,126,Train
01/07/2019,1315792,0,0.1,0.006821813,0.004066998,0.005149912,0.007258052,0.006581377,0.001285016,0.945380866,0.013642305,0.006084769,0.003728892,118.4,52.6,126,Train
01/08/2019,1512447,0.28571429,0,0.006467173,0.004573411,0.005366916,0.007201634,0.005549157,0.001259577,0.005555554,0.004138051,0.010703912,0.949184615,109.8,51.4,127,Train
01/09/2019,1561274,0.1,0,0.006025279,0.006358876,0.009403199,0.010060525,0.013108485,0.00127194,0.014185357,0.925822417,0.008575705,0.003111315,113.2,50.5,128,Train
01/10/2019,1618337,0.28571429,0,0.006816521,0.005418332,0.008443267,0.008507449,0.011720141,0.001101072,0.013416057,0.934648304,0.007353143,0.002575714,115.5,50,127,Train
01/11/2019,1809580,0.28571429,0,0.003246041,0.002667116,0.003032156,0.006034099,0.963258566,0.000727801,0.005543993,0.009191136,0.002939255,0.003359838,116.8,51,127,Train
01/12/2019,1710168,0.28571429,0,0.012179983,0.008390508,0.922970821,0.007537958,0.007716444,0.00129799,0.011159409,0.016488334,0.008670433,0.008362866,119.3,50.8,126,Train
01/01/2020,1994125,0.16666667,0,0.006025279,0.006358876,0.009403199,0.010060525,0.013108485,0.00127194,0.014185357,0.925822417,0.008575705,0.003111315,119.8,50.6,127,Train
01/02/2020,1242731,0.07142857,0.14285714,0.014135199,0.011171524,0.010814228,0.013162076,0.012677204,0.004472429,0.025886842,0.084794094,0.01210342,0.009728404,121,51.6,128,Train
